"Date";"Time";"Script";"ScriptVersion";"Event"
"2023-07-01";"16:09:19";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"16:09:19";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"16:09:19";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"16:09:19";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"16:09:19";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"16:09:19";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"16:09:19";"PWS2mqtt";;"End of function app"
"2023-07-01";"16:10:26";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"16:10:26";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"16:10:26";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"16:10:26";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"16:10:26";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"16:10:26";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"16:10:26";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"16:10:26";"PWS2mqtt";;"End of function app"
